id,Title,Director,Cast,Genre,year,imbd link
136,Phir Bhi,Shivendra Sinha,"Pratap Sharma, Urmila Bhatt, Suresh Oberoi",Drama,1971,http://www.imdb.com/find?q=Phir+Bhi+1971+
137,Preet Ki Dori,,"Parikshit Sahni, Tanuja",Drama,1971,http://www.imdb.com/find?q=Preet+Ki+Dori+1971+
138,Preetam,Bhappi Sonie,"Shammi Kapoor, Leena Chandavarkar",Romance,1971,http://www.imdb.com/find?q=Preetam+1971+
139,Pyar Ki Kahani,Ravikant Nagaich,"Amitabh Bachchan, Tanuja, Mala Sinha",Drama,1971,http://www.imdb.com/find?q=Pyar+Ki+Kahani+1971+
140,Rakhwala,Adurthi Subba Rao,"Dharmendra, Leena Chandavarkar",Romance,1971,http://www.imdb.com/find?q=Rakhwala+1971+
141,Ramu Ustad,Mohammed Hussain,"Madan Puri, Dara Singh",Drama,1971,http://www.imdb.com/find?q=Ramu+Ustad+1971+
142,Reshma Aur Shera,Sunil Dutt,"Sunil Dutt, Waheeda Rehman, Amitabh Bachchan",,1971,http://www.imdb.com/find?q=Reshma+Aur+Shera+1971+
143,Saat Sawal,Babubhai Mistry,Johnny Whisky,Drama,1971,http://www.imdb.com/find?q=Saat+Sawal+1971+
144,Saaz Aur Sanam,JBH Wadia,"Rekha, Premendra",Romance,1971,http://www.imdb.com/find?q=Saaz+Aur+Sanam+1971+
145,Sanjog,S.S. Balan,"Amitabh Bachchan, Mala Sinha",Comedy,1971,http://www.imdb.com/find?q=Sanjog+1971+
146,Sansar,Dilip Bose,"Anupama, Nirupa Roy",Drama,1971,http://www.imdb.com/find?q=Sansar+1971+
147,Seema,Surendra Mohan,"Kabir Bedi, Simi Garewal, Rakesh Roshan, Padma Khanna, Bharati, Abhi Bhattacharya",Drama,1971,http://www.imdb.com/find?q=Seema+1971+
148,Sharmeelee,Samir Ganguly,"Shashi Kapoor, Raakhee",Romance,1971,http://www.imdb.com/find?q=Sharmeelee+1971+
149,Shri Krishna Leela,Homi Wadia,"Sachin, Hina, Jayshree Gadkar, Sapru, Manhar Desai, Tabassum",Religious,1971,http://www.imdb.com/find?q=Shri+Krishna+Leela+1971+
150,Tere Mere Sapne,Vijay Anand,"Dev Anand, Vijay Anand, Mumtaz, Hema Malini, Tabassum, Agha",,1971,http://www.imdb.com/find?q=Tere+Mere+Sapne+1971+
151,Tulsi Vivah,Chandrakant,"Abhi Bhattacharya, Dara Singh, Randhawa, Jayshree Gadkar, Anita Guha",Mythology Religious Drama,1971,http://www.imdb.com/find?q=Tulsi+Vivah+1971+
152,Umeed,Nitin Bose,"Ashok Kumar, Joy Mukherjee, Leela Naidu, Nanda, Leela Mishra, Tun Tun",Family Social Drama,1971,http://www.imdb.com/find?q=Umeed+1971+
153,Upaasna,Mohan,"Sanjay Khan, Mumtaz, Feroz Khan, Helen, Anwar Hussain",Drama,1971,http://www.imdb.com/find?q=Upaasna+1971+
154,Uphaar,Sudhendu Roy,"Jaya Badhuri, Swarup Dutt, Kamini Kaushal, Suresh Chatwal, Leela Mishra",Family Drama,1971,http://www.imdb.com/find?q=Uphaar+1971+
155,Woh Din Yaad Karo,K. Amarnath,"Sanjay Khan, Nanda, Mehmood, Madan Puri, Shashikala, Tun Tun, Wasti, Jayshree T.",Drama,1971,http://www.imdb.com/find?q=Woh+Din+Yaad+Karo+1971+
156,Aan Baan,Prakash Mehra,"Raakhee, Pran",Drama,1972,http://www.imdb.com/find?q=Aan+Baan+1972+
157,Aankh Micholi,Ramanna,"Rakesh Roshan, Farida Jalal",Drama,1972,http://www.imdb.com/find?q=Aankh+Micholi+1972+
158,Aankhon Aankhon Mein,Raghunath Jhalani,"Rakesh Roshan, Raakhee, Pran",Drama,1972,http://www.imdb.com/find?q=Aankhon+Aankhon+Mein+1972+
159,Amar Prem,Shakti Samanta,"Rajesh Khanna, Sharmila Tagore",Drama,1972,http://www.imdb.com/find?q=Amar+Prem+1972+
160,Annadata,Asit Sen,"Jaya Bhaduri, Anil Dhawan",Drama,1972,http://www.imdb.com/find?q=Annadata+1972+
161,Anokha Daan,Asit Sen,"Kabir Bedi, Tarun Bose, Anil Dhawan, Zaheera",Drama,1972,http://www.imdb.com/find?q=Anokha+Daan+1972+
162,Anokha Milan,Jagannath Chatterjee,"Dilip Kumar, Dharmendra",Drama,1972,http://www.imdb.com/find?q=Anokha+Milan+1972+
163,Anokhi Pehchan,Satyen Bose,"Sanjay Khan, Raakhee",Drama,1972,http://www.imdb.com/find?q=Anokhi+Pehchan+1972+
164,Anuraag,Shakti Samanta,"Nutan, Rajesh Khanna",Drama,1972,http://www.imdb.com/find?q=Anuraag+1972+
165,Apna Desh,Jambu,"Rajesh Khanna, Mumtaz",Drama,1972,http://www.imdb.com/find?q=Apna+Desh+1972+
166,Apradh,Feroz Khan,"Feroz Khan, Mumtaz",Action,1972,http://www.imdb.com/find?q=Apradh+1972+
167,Babul Ki Galiyaan,S.D. Narang,"Sanjay Khan, Hema Malini, Shatrughan Sinha",Drama,1972,http://www.imdb.com/find?q=Babul+Ki+Galiyaan+1972+
168,Baharon Phool Barsao,,Dheeraj Kumar,Drama,1972,http://www.imdb.com/find?q=Baharon+Phool+Barsao+1972+
169,Bandagi,K. Shankar,Pandharibai,Romance,1972,http://www.imdb.com/find?q=Bandagi+1972+
170,Bansi Birju,Prakash Verma,"Amitabh Bachchan, Jaya Bhaduri",Romance,1972,http://www.imdb.com/find?q=Bansi+Birju+1972+
171,Bawarchi,Hrishikesh Mukherjee,"Rajesh Khanna, Jaya Bhaduri",Comedy,1972,http://www.imdb.com/find?q=Bawarchi+1972+
172,Be-Imaan,Sohanlal Kanwar,"Manoj Kumar, Raakhee, Pran",,1972,http://www.imdb.com/find?q=Be-Imaan+1972+
