id,Title,Director,Cast,Genre,year,imbd link
173,Bees Saal Pehle,Probir Roy,Lalita Pawar,Drama,1972,http://www.imdb.com/find?q=Bees+Saal+Pehle+1972+
174,Bhai Ho To Aisa,Manmohan Desai,"Jeetendra, Hema Malini, Shatrughan Sinha",Drama,1972,http://www.imdb.com/find?q=Bhai+Ho+To+Aisa+1972+
175,Bombay to Goa,S. Ramanathan,"Amitabh Bachchan, Aruna Irani, Mehmood",Drama,1972,http://www.imdb.com/find?q=Bombay+to+Goa+1972+
176,Buniyaad,Virender Sinha,"Rakesh Roshan, Shatrughan Sinha, Yogeeta Bali, Pran",Drama,1972,http://www.imdb.com/find?q=Buniyaad+1972+
177,Dastaan,B.R. Chopra,"Dilip Kumar, Sharmila Tagore, Bindu",Drama,1972,http://www.imdb.com/find?q=Dastaan+1972+
178,Dharkan,Devendra Goel,"Sanjay Khan, Mumtaz",Thriller,1972,http://www.imdb.com/find?q=Dharkan+1972+
179,Dil Daulat Duniya,Prem Narayan Arora,"Rajesh Khanna, Ashok Kumar, Helen",Drama,1972,http://www.imdb.com/find?q=Dil+Daulat+Duniya+1972+
180,Dil Ka Raja,P. Madhavan,"Waheeda Rehman, Raaj Kumar",Action,1972,http://www.imdb.com/find?q=Dil+Ka+Raja+1972+
181,Do Bachche Dus Haath,Kalpataru,"Nasir Ahmad Ansari, Prem Nath",Drama,1972,http://www.imdb.com/find?q=Do+Bachche+Dus+Haath+1972+
182,Do Chor,Padmanabh,"Dharmendra, Tanuja",Action,1972,http://www.imdb.com/find?q=Do+Chor+1972+
183,Do Gaz Zameen Ke Neeche,Tulsi Ramsay,Satyendra Kapoor,Horror,1972,http://www.imdb.com/find?q=Do+Gaz+Zameen+Ke+Neeche+1972+
184,Do Yaar,Kewal Misra,"Vinod Khanna, Rekha, Shatrughan Sinha",Action,1972,http://www.imdb.com/find?q=Do+Yaar+1972+
185,Double Cross,Gogi Anand,"Vijay Anand, Rekha",Action,1972,http://www.imdb.com/find?q=Double+Cross+1972+
186,Dushman,Dulal Guha,"Rajesh Khanna, Mumtaz",Drama,1972,http://www.imdb.com/find?q=Dushman+1972+
187,Ek Adhuri Kahani,Mrinal Sen,"Utpal Dutt, Shekhar Chatterjee",Drama,1972,http://www.imdb.com/find?q=Ek+Adhuri+Kahani+1972+
188,Ek Bar Mooskura Do,Ram Mukherjee,"Shobhna Samarth, Joy Mukherjee, Tanuja, Deb Mukherjee",Drama,1972,http://www.imdb.com/find?q=Ek+Bar+Mooskura+Do+1972+
189,Ek Bechara,S.M. Abbas,"Jeetendra, Rekha, Vinod Khanna, Pran",Drama,1972,http://www.imdb.com/find?q=Ek+Bechara+1972+
190,Ek Hasina Do Diwane,S.M. Abbas,"Jeetendra, Babita, Vinod Khanna",Romance,1972,http://www.imdb.com/find?q=Ek+Hasina+Do+Diwane+1972+
191,Ek Khiladi Bawan Pattey,,"Vinod Khanna, Ravi Khanna",,1972,http://www.imdb.com/find?q=Ek+Khiladi+Bawan+Pattey+1972+
192,Ek Nazar,B.R. Ishara,"Amitabh Bachchan, Jaya Bhaduri, Nadira",Romance,1972,http://www.imdb.com/find?q=Ek+Nazar+1972+
193,Gaon Hamara Shaher Tumhara,Naresh Kumar,"Rajendra Kumar, Rekha",Romance,1972,http://www.imdb.com/find?q=Gaon+Hamara+Shaher+Tumhara+1972+
194,Garam Masala,Aspi Irani,"Aruna Irani, Mehmood",Comedy,1972,http://www.imdb.com/find?q=Garam+Masala+1972+
195,Gomti Ke Kinare,Saawan Kumar Tak,"Meena Kumari, Sameer Khan, Mumtaz",Drama,1972,http://www.imdb.com/find?q=Gomti+Ke+Kinare+1972+
196,Gora Aur Kala,Naresh Kumar,"Rekha, Rajendra Kumar, Hema Malini",Action,1972,http://www.imdb.com/find?q=Gora+Aur+Kala+1972+
197,Grahan,Arvind Kumar Sinha,Nutan,Drama,1972,http://www.imdb.com/find?q=Grahan+1972+
198,Haar Jeet,C.P. Dixit,"Rehana Sultan, Anil Dhawan",Drama,1972,http://www.imdb.com/find?q=Haar+Jeet+1972+
199,Hari Darshan,Chandrakant,Dara Singh,Fantasy,1972,http://www.imdb.com/find?q=Hari+Darshan+1972+
200,Jai Jwala,Manohar Deepak,Sunil Dutt,Drama,1972,http://www.imdb.com/find?q=Jai+Jwala+1972+
201,Jangal Mein Mangal,Rajendra Bhatia,"Kiran Kumar, Reena Roy, Pran",Romance,1972,http://www.imdb.com/find?q=Jangal+Mein+Mangal+1972+
202,Janwar Aur Insaan,Tapi Chanakya,"Shashi Kapoor, Raakhee",Drama,1972,http://www.imdb.com/find?q=Janwar+Aur+Insaan+1972+
203,Jawani Diwani,Narendra Bedi,"Randhir Kapoor, Jaya Bhaduri",Romance,1972,http://www.imdb.com/find?q=Jawani+Diwani+1972+
204,Jeet,Adurthi Subba Rao,"Randhir Kapoor, Babita",Romance,1972,http://www.imdb.com/find?q=Jeet+1972+
205,Joroo Ka Ghulam,A. Bhimsingh,"Rajesh Khanna, Nanda",Comedy,1972,http://www.imdb.com/find?q=Joroo+Ka+Ghulam+1972+
206,Koshish,Sampooran Singh Gulzar,"Sanjeev Kumar, Jaya Bhaduri",,1972,http://www.imdb.com/find?q=Koshish+1972+
207,Lalkaar,Ramanand Sagar,"Dharmendra, Rajendra Kumar, Mala Sinha, Kum Kum",Action,1972,http://www.imdb.com/find?q=Lalkaar+1972+
208,Maalik,A. Bhimsingh,"Rajesh Khanna, Sharmila Tagore",Drama,1972,http://www.imdb.com/find?q=Maalik+1972+
209,Man Jaiye,B.R. Ishara,Rakesh Pandhya,Drama,1972,http://www.imdb.com/find?q=Man+Jaiye+1972+
210,Maya Darpan,Kumar Shahani,"Aditi, Anil Pandya",Drama,1972,http://www.imdb.com/find?q=Maya+Darpan+1972+
211,Mere Bhaiya,Satyen Bose,"Vijay Arora, Suresh Chatwal",Drama,1972,http://www.imdb.com/find?q=Mere+Bhaiya+1972+
212,Milap,B.R. Ishara,"Shatrughan Sinha, Danny Denzongpa",Action,1972,http://www.imdb.com/find?q=Milap+1972+
213,Mere Jeevan Saathi,Ravi Nagaish,"Rajesh Khanna, Tanuja",Romance,1972,http://www.imdb.com/find?q=Mere+Jeevan+Saathi+1972+
214,Mom Ki Gudiya,Mohan Kumar,"Ratan Chopra, Tanuja",Drama,1972,http://www.imdb.com/find?q=Mom+Ki+Gudiya+1972+
215,Pakeezah,Kamal Amrohi,"Raj Kumar, Meena Kumari, Ashok Kumar",Drama,1972,http://www.imdb.com/find?q=Pakeezah+1972+
216,Parchhaiyan,Sharankumar Chand,"Vinod Khanna, Bindu",Drama,1972,http://www.imdb.com/find?q=Parchhaiyan+1972+
217,Parichay,Sampooran Singh Gulzar,"Jeetendra, Jaya Bhaduri, Pran",,1972,http://www.imdb.com/find?q=Parichay+1972+
218,Piya Ka Ghar,Basu Chatterjee,"Anil Dhawan, Jaya Badhuri",Drama,1972,http://www.imdb.com/find?q=Piya+Ka+Ghar+1972+
219,Preetam,Bhappi Sonie,"Shammi Kapoor, Leena Chandavarkar, Pran",,1972,http://www.imdb.com/find?q=Preetam+1972+
220,Pyaar Diwana,Samar Chatterjee,"Kishore Kumar, Mumtaz",Comedy,1972,http://www.imdb.com/find?q=Pyaar+Diwana+1972+
221,Raampur Ka Lakshman,Manmohan Desai,"Randhir Kapoor, Shatrughan Sinha, Rekha",Drama,1972,http://www.imdb.com/find?q=Raampur+Ka+Lakshman+1972+
222,Raaste Kaa Patthar,Mukul Dutt,"Amitabh Bachchan, Shatrughan Sinha",Action,1972,http://www.imdb.com/find?q=Raaste+Kaa+Patthar+1972+
223,Raja Jani,Mohan Segal,"Dharmendra, Hema Malini, Prem Nath",Drama,1972,http://www.imdb.com/find?q=Raja+Jani+1972+
224,Rakhi Aur Hathkadi,S.M. Sagar,"Ashok Kumar, Asha Parekh",Action,1972,http://www.imdb.com/find?q=Rakhi+Aur+Hathkadi+1972+
225,Rani Mera Naam,S.M. Sagar,"Ashok Kumar, Prem Nath",Drama,1972,http://www.imdb.com/find?q=Rani+Mera+Naam+1972+
226,Rivaaj,T. Prakash Rao,"Farida Jalal, Mala Sinha",Drama,1972,http://www.imdb.com/find?q=Rivaaj+1972+
227,Roop Tera Mastana,Khalid Akhtar,"Jeetendra, Mumtaz, Pran",Romance,1972,http://www.imdb.com/find?q=Roop+Tera+Mastana+1972+
228,Sa-Re-Ga-Ma-Pa,Satyen Bose,Ashok Kumar,Drama,1972,http://www.imdb.com/find?q=Sa-Re-Ga-Ma-Pa+1972+
229,Sabse Bada Sukh,Hrishikesh Mukherjee,"Vijay Arora, Utpal Dutt",Drama,1972,http://www.imdb.com/find?q=Sabse+Bada+Sukh+1972+
230,Samaanta,Nitin Bose,Dheeraj Kumar,Drama,1972,http://www.imdb.com/find?q=Samaanta+1972+
231,Samadhi,Prakash Mehra,"Dharmendra, Jaya Badhuri, Asha Parekh",Romance,1972,http://www.imdb.com/find?q=Samadhi+1972+
232,Sazaa,Chand,"Kabir Bedi, Rekha, Jeetendra, Ashok Kumar, Yogeeta Bali, Pran",Thriller,1972,http://www.imdb.com/find?q=Sazaa+1972+
233,Seeta Aur Geeta,Ramesh Sippy,"Dharmendra, Sanjeev Kumar, Hema Malini",Romance,1972,http://www.imdb.com/find?q=Seeta+Aur+Geeta+1972+
234,Shaadi Ke Baad,L.V. Prasad,"Jeetendra, Shatrughan Sinha, Raakhee",Drama,1972,http://www.imdb.com/find?q=Shaadi+Ke+Baad+1972+
235,Shararat,Manmohan Desai,"Mumtaz, Shatrughan Sinha",Drama,1972,http://www.imdb.com/find?q=Shararat+1972+
236,Shayar-e-Kashmir Mahjoor,Prabhat Mukherjee,Balraj Sahni,Drama,1972,http://www.imdb.com/find?q=Shayar-e-Kashmir+Mahjoor+1972+
237,Shehzada,K. Shankar,"Rajesh Khanna, Raakhee",Drama,1972,http://www.imdb.com/find?q=Shehzada+1972+
238,Shor,Manoj Kumar,"Manoj Kumar, Nanda, Jaya Bhaduri",Drama,1972,http://www.imdb.com/find?q=Shor+1972+
239,Sub Ka Saathi,A. Bhimsingh,Vinod Khanna,Drama,1972,http://www.imdb.com/find?q=Sub+Ka+Saathi+1972+
240,Subah-o-Shyam,Tapi Chanakya,"Sanjeev Kumar, Waheeda Rehman",Drama,1972,http://www.imdb.com/find?q=Subah-o-Shyam+1972+
241,Sultana Daku,Mohammed Hussain,"Helen, Dara Singh",Drama,1972,http://www.imdb.com/find?q=Sultana+Daku+1972+
242,Tangewala,Naresh Kumar,"Mumtaz, Sujit Kumar",Action,1972,http://www.imdb.com/find?q=Tangewala+1972+
243,Tanhai,Naresh Kumar,Rehana Sultan,Drama,1972,http://www.imdb.com/find?q=Tanhai+1972+
244,Trisandhya,Raj Marbros,Waheeda Rehman,Drama,1972,http://www.imdb.com/find?q=Trisandhya+1972+
245,Victoria No. 203,Brij,"Navin Nischol, Saira Banu, Ashok Kumar, Pran",Drama,1972,http://www.imdb.com/find?q=Victoria+No.+203+1972+
246,Wafaa,Ramanna,"Raakhee, Nasir Hussain, Sanjay Khan",Drama,1972,http://www.imdb.com/find?q=Wafaa+1972+
247,Yeh Gulistan Hamara,Atma Ram,"Dev Anand, Sharmila Tagore, Pran",Drama,1972,http://www.imdb.com/find?q=Yeh+Gulistan+Hamara+1972+
248,Zameen Aasmaan,A. Veerappan,"Sunil Dutt, Yogeeta Bali",Action,1972,http://www.imdb.com/find?q=Zameen+Aasmaan+1972+
249,Zaroorat,B.R. Ishara,"Reena Roy, Danny Denzongpa",Drama,1972,http://www.imdb.com/find?q=Zaroorat+1972+
250,Zindagi Zindagi,Tapan Sinha,"Deb Mukherjee, Waheeda Rehman, Farida Jalal, Ashok Kumar",Romance,1972,http://www.imdb.com/find?q=Zindagi+Zindagi+1972+
251,Aa Gale Lag Jaa,Manmohan Desai,"Shashi Kapoor, Sharmila Tagore, Shatrughan Sinha",Romance,1973,http://www.imdb.com/find?q=Aa+Gale+Lag+Jaa+1973+
252,Aaj Ki Taaza Khabar,Rajendra Bhatia,"Radha Saluja, Kiran Kumar",Action,1973,http://www.imdb.com/find?q=Aaj+Ki+Taaza+Khabar+1973+
253,Aangan,Nasir Hussain,,Drama,1973,http://www.imdb.com/find?q=Aangan+1973+
254,Aarop,Atma Ram,"Saira Banu, Vinod Khanna",Romance,1973,http://www.imdb.com/find?q=Aarop+1973+
255,Abhimaan,Hrishikesh Mukherjee,"Amitabh Bachchan, Jaya Badhuri, Bindu",Drama,1973,http://www.imdb.com/find?q=Abhimaan+1973+
256,Achanak,Gulzar,"Vinod Khanna, Farida Jalal",Crime,1973,http://www.imdb.com/find?q=Achanak+1973+
257,Agni Rekha,Mahesh Kaul,"Bindu, Sanjeev Kumar",Drama,1973,http://www.imdb.com/find?q=Agni+Rekha+1973+
258,Anamika,Raghunath Jhalani,"Sanjeev Kumar, Jaya Badhuri",Drama,1973,http://www.imdb.com/find?q=Anamika+1973+
259,Anhonee,Ravi Tandon,"Sanjeev Kumar, Leena Chandavarkar, Kamini Kaushal, Bindu",Drama,1973,http://www.imdb.com/find?q=Anhonee+1973+
260,Anokhi Ada,Kundan Kumar,"Jeetendra, Rekha, Vinod Khanna",Romance,1973,http://www.imdb.com/find?q=Anokhi+Ada+1973+
261,Avishkaar,Basu Bhattacharya,"Rajesh Khanna, Sharmila Tagore, Dina Pathak",Romance,1973,http://www.imdb.com/find?q=Avishkaar+1973+
262,Bada Kabutar,Deven Verma,"Rehana Sultan, Amitabh Bachchan, Helen",Comedy,1973,http://www.imdb.com/find?q=Bada+Kabutar+1973+
263,Banarasi Babu,Shankar Mukherjee,"Dev Anand, Raakhee, Yogeeta Bali",Drama,1973,http://www.imdb.com/find?q=Banarasi+Babu+1973+
264,Bandhe Haath,O. P. Ralhan,"Amitabh Bachchan, Mumtaz",Action,1973,http://www.imdb.com/find?q=Bandhe+Haath+1973+
265,Barkha Bahar,Amar Kumar,"Navin Nischol, Rekha",Romance,1973,http://www.imdb.com/find?q=Barkha+Bahar+1973+
266,Black Mail,Vijay Anand,"Dharmendra, Raakhee, Madan Puri, Shatrughan Sinha",Thriller,1973,http://www.imdb.com/find?q=Black+Mail+1973+
267,Bobby,Raj Kapoor,"Rishi Kapoor, Dimple Kapadia, Pran",Romance,1973,http://www.imdb.com/find?q=Bobby+1973+
268,Chhalia,Mukul Dutt,"Navin Nischol, Nanda, Shatrughan Sinha",Action,1973,http://www.imdb.com/find?q=Chhalia+1973+
269,Chhupa Rustam,Vijay Anand,"Dev Anand, Hema Malini, Vijay Anand",Action,1973,http://www.imdb.com/find?q=Chhupa+Rustam+1973+
270,Daag: A Poem of Love,Yash Chopra,"Rajesh Khanna, Sharmila Tagore, Raakhee",Romance,1973,http://www.imdb.com/find?q=Daag:+A+Poem+of+Love+1973+
271,Daaman Aur Aag,,"Sanjay, Saira Banu",,1973,http://www.imdb.com/find?q=Daaman+Aur+Aag+1973+
272,Dhamkee,Kalpataru,"Subhash Ghai, Vinod Khanna",Thriller,1973,http://www.imdb.com/find?q=Dhamkee+1973+
273,Dharma,Chand,"Navin Nischol, Rekha, Pran, Ajit, Prem Chopra",Action,1973,http://www.imdb.com/find?q=Dharma+1973+
274,Dhund,B.R. Chopra,"Sanjay, Zeenat Aman, Danny Denzongpa",Thriller,1973,http://www.imdb.com/find?q=Dhund+1973+
275,Dil Ki Rahen,B. R. Ishara,"Rakesh Pandey, Rehana Sultan",Drama,1973,http://www.imdb.com/find?q=Dil+Ki+Rahen+1973+
276,Do Phool,S. Ramanathan,"Vinod Mehra, Aruna Irani, Mehmood",Comedy,1973,http://www.imdb.com/find?q=Do+Phool+1973+
277,Door Nahin Manzil,,"Pradeep Kumar, Sanjeev Kumar",,1973,http://www.imdb.com/find?q=Door+Nahin+Manzil+1973+
278,Duvidha,Mani Kaul,"Ravi Menon, Raisa Padamsee",Drama,1973,http://www.imdb.com/find?q=Duvidha+1973+
279,Ek Kunwari Ek Kunwara,Prakash Mehra,"Rakesh Roshan, Leena Chandavarkar, Pran",Drama,1973,http://www.imdb.com/find?q=Ek+Kunwari+Ek+Kunwara+1973+
280,Ek Mutthi Aasmaan,Virender Sinha,"Vijay Arora, Yogeeta Bali, Pran",Drama,1973,http://www.imdb.com/find?q=Ek+Mutthi+Aasmaan+1973+
281,Ek Nari Do Roop,,"Nadira, Shatrughan Sinha",Drama,1973,http://www.imdb.com/find?q=Ek+Nari+Do+Roop+1973+
282,Gaai Aur Gori,M.A. Thirumugham,"Jaya Bhaduri, Shatrughan Sinha",Drama,1973,http://www.imdb.com/find?q=Gaai+Aur+Gori+1973+
283,Gaddar,Harmesh Malhotra,"Yogeeta Bali, Vinod Khanna, Pran",Drama,1973,http://www.imdb.com/find?q=Gaddar+1973+
284,Garam Hawa,M. S. Sathyu,"Balraj Sahni, Shaukat Azmi",Drama,1973,http://www.imdb.com/find?q=Garam+Hawa+1973+
285,Gehri Chaal,C.V. Sridhar,"Jeetendra, Hema Malini, Amitabh Bachchan",Thriller,1973,http://www.imdb.com/find?q=Gehri+Chaal+1973+
286,Ghulam Begam Badshah,Jambu,"Shatrughan Sinha, Anil Dhawan, Moushumi Chatterjee",Drama,1973,http://www.imdb.com/find?q=Ghulam+Begam+Badshah+1973+
287,Haathi Ke Daant,B. R. Ishara,Rakesh Pandey,Drama,1973,http://www.imdb.com/find?q=Haathi+Ke+Daant+1973+
288,Hanste Zakhm,Chetan Anand,"Navin Nischol, Priya Rajvansh, Balraj Sahni",Romance,1973,http://www.imdb.com/find?q=Hanste+Zakhm+1973+
289,Heera,Sultan Ahmed,"Sunil Dutt, Asha Parekh",Action,1973,http://www.imdb.com/find?q=Heera+1973+
290,Heera Panna,Dev Anand,"Dev Anand, Raakhee, Zeenat Aman",Romance,1973,http://www.imdb.com/find?q=Heera+Panna+1973+
291,Hifazat,K.S.R. Das,"Vinod Mehra, Asha Sachdev, Ashok Kumar, Lalita Pawar",Drama,1973,http://www.imdb.com/find?q=Hifazat+1973+
292,Hindustan Ki Kasam,Chetan Anand,"Raaj Kumar, Priya Rajvansh, Amjad Khan, Amrish Puri",Action,1973,http://www.imdb.com/find?q=Hindustan+Ki+Kasam+1973+
293,Honeymoon,Hiren Nag,"Leena Chandavarkar, Anil Dhawan",Comedy,1973,http://www.imdb.com/find?q=Honeymoon+1973+
294,Hum Sab Chor Hain,,"Dara Singh, Sadhana",Drama,1973,http://www.imdb.com/find?q=Hum+Sab+Chor+Hain+1973+
295,Insaaf,Adurthi Subba Rao,"Waheeda Rehman, Tanuja, Vijay Arora, Pran",Drama,1973,http://www.imdb.com/find?q=Insaaf+1973+
296,Jaise Ko Taisa,Murugan Kumaran,"Jeetendra, Reena Roy",Drama,1973,http://www.imdb.com/find?q=Jaise+Ko+Taisa+1973+
297,Jalte Badan,Ramanand Sagar,"Kiran Kumar, Kumkum, Pradeep Kumar",Drama,1973,http://www.imdb.com/find?q=Jalte+Badan+1973+
298,Jheel Ke Us Paar,Bhappi Sonie,"Dharmendra, Mumtaz, Pran",Romance,1973,http://www.imdb.com/find?q=Jheel+Ke+Us+Paar+1973+
299,Joshila,Yash Chopra,"Dev Anand, Raakhee, Hema Malini, Pran",Thriller,1973,http://www.imdb.com/find?q=Joshila+1973+
300,Jugnu,Pramod Chakravorty,"Dharmendra, Hema Malini, Pran",Drama,1973,http://www.imdb.com/find?q=Jugnu+1973+
301,Jwar Bhata,Adurthi Subba Rao,"Dharmendra, Saira Banu",Drama,1973,http://www.imdb.com/find?q=Jwar+Bhata+1973+
302,Jyot Jale,Satyen Bose,Nirupa Roy,Drama,1973,http://www.imdb.com/find?q=Jyot+Jale+1973+
303,Kahani Hum Sab Ki,Rajkumar Kohli,"Lalita Pawar, Mala Sinha",Drama,1973,http://www.imdb.com/find?q=Kahani+Hum+Sab+Ki+1973+
304,Kahani Kismat Ki,Arjun Hingorani,"Dharmendra, Rekha",Action,1973,http://www.imdb.com/find?q=Kahani+Kismat+Ki+1973+
305,Kashmakash,Feroz Chinoy,"Rekha, Feroz Khan, ShatrugHan Sinha",Action,1973,http://www.imdb.com/find?q=Kashmakash+1973+
306,Keemat,Ravikant Nagaich,"Rekha, Dharmendra, Prem Chopra",Action,1973,http://www.imdb.com/find?q=Keemat+1973+
307,Khoon Khoon,Mohammed Hussain,"Danny Denzongpa, Rekha",Action,1973,http://www.imdb.com/find?q=Khoon+Khoon+1973+
308,Kachche Dhaage,Raj Khosla,"Vinod Khanna, Kabir Bedi, Moushumi Chatterjee",Action,1973,http://www.imdb.com/find?q=Kachche+Dhaage+1973+
309,Kunwara Badan,Vimal Tewari,,Drama,1973,http://www.imdb.com/find?q=Kunwara+Badan+1973+
310,Loafer,A. Bhimsingh,"Dharmendra, Mumtaz",Romance,1973,http://www.imdb.com/find?q=Loafer+1973+
311,Maha Sati Savitri,Chandrakant,"Jayshree Gadkar, Upendra Trivedi",Fantasy,1973,http://www.imdb.com/find?q=Maha+Sati+Savitri+1973+
312,Manchali,Raja Nawathe,"Sanjeev Kumar, Leena Chandavarkar",Romance,1973,http://www.imdb.com/find?q=Manchali+1973+
313,Mehmaan,Kotayya Pratyagatma,"Rekha, Biswajeet, Leela Chitwas",Crime,1973,http://www.imdb.com/find?q=Mehmaan+1973+
314,Mera Desh Mera Dharam,Dara Singh,"Dara Singh, Raj Kapoor",Drama,1973,http://www.imdb.com/find?q=Mera+Desh+Mera+Dharam+1973+
315,Nafrat,Shyam Ralhan,"Rakesh Roshan, Yogeeta Bali",Romance,1973,http://www.imdb.com/find?q=Nafrat+1973+
316,Nai Duniya Naye Log,B. R. Ishara,"Danny Denzongpa, Reena Roy",Drama,1973,http://www.imdb.com/find?q=Nai+Duniya+Naye+Log+1973+
317,Naina,Kanak Mishra,"Shashi Kapoor, Moushumi Chatterjee",Drama,1973,http://www.imdb.com/find?q=Naina+1973+
318,Namak Haraam,Hrishikesh Mukherjee,"Rekha, Rajesh Khanna, Amitabh Bachchan",Drama,1973,http://www.imdb.com/find?q=Namak+Haraam+1973+
319,Naya Nasha,Hari Dutt,"Nanda, Madan Puri",Action,1973,http://www.imdb.com/find?q=Naya+Nasha+1973+
320,Nirdosh,S.M. Sagar,"Vinod Mehra, Yogeeta Bali",Drama,1973,http://www.imdb.com/find?q=Nirdosh+1973+
321,Paanch Dushman,Shyam Ralhan,"Vinod Khanna, Pran",Action,1973,http://www.imdb.com/find?q=Paanch+Dushman+1973+
322,Rickshawala,K. Shankar,"Mala Sinha, Randhir Kapoor, Neetu Singh, Pran",,1973,http://www.imdb.com/find?q=Rickshawala+1973+
323,Saudagar,Shubendu Roy,"Nutan, Amitabh Bachchan, Padma Khanna",Drama,1973,http://www.imdb.com/find?q=Saudagar+1973+
324,Shareef Budmaash,Raj Khosla,"Dev Anand, Hema Malini",,1973,http://www.imdb.com/find?q=Shareef+Budmaash+1973+
325,Yaadon Ki Baaraat,Nasir Hussain,"Dharmendra, Zeenat Aman, Vijay Arora, T?riq, Ajit",Drama,1973,http://www.imdb.com/find?q=Yaadon+Ki+Baaraat+1973+
326,Zanjeer,Prakash Mehra,"Amitabh Bachchan, Jaya Badhuri, Pran",Action,1973,http://www.imdb.com/find?q=Zanjeer+1973+
327,27 Down,Awtar Krishna Kaul,"Raakhee, Sudhir Dalvi",Drama,1974,http://www.imdb.com/find?q=27+Down+1974+
328,36 Ghante,Raj Tilak,Parveen Babi,Thriller,1974,http://www.imdb.com/find?q=36+Ghante+1974+
329,5 Rifles,I.S. Johar,"Rajesh Khanna, Shashi Kapoor",Action,1974,http://www.imdb.com/find?q=5+Rifles+1974+
330,Aahat,Kishor,"Dharmendra, Vinod Mehra, Jaya Bachchan, Shreeram Lagoo",,1974,http://www.imdb.com/find?q=Aahat+1974+
331,Aap Ki Kasam,J. Om Prakash,"Rajesh Khanna, Mumtaz",Romance,1974,http://www.imdb.com/find?q=Aap+Ki+Kasam+1974+
332,Aashiana,Syed Hussain,Neetu Singh,Drama,1974,http://www.imdb.com/find?q=Aashiana+1974+
333,Ajanabee,Shakti Samanta,"Rajesh Khanna, Zeenat Aman",Romance,1974,http://www.imdb.com/find?q=Ajanabee+1974+
334,Albeli,Karunesh Thakur,"Vinod Mehra, Rehana Sultan",Romance,1974,http://www.imdb.com/find?q=Albeli+1974+
335,Amir Garib,Mohan Kumar,"Dev Anand, Hema Malini, Tanuja",Action,1974,http://www.imdb.com/find?q=Amir+Garib+1974+
336,Anjaan Raahen,Mohan,"Feroz Khan, Asha Parekh",Comedy,1974,http://www.imdb.com/find?q=Anjaan+Raahen+1974+
337,Ankur,Shyam Benegal,Shabana Azmi,Drama,1974,http://www.imdb.com/find?q=Ankur+1974+
338,Apradhi,Jugal Kishore,Yogeeta Bali,Drama,1974,http://www.imdb.com/find?q=Apradhi+1974+
339,Archana,Satpal,Sanjeev Kumar,Drama,1974,http://www.imdb.com/find?q=Archana+1974+
340,Azad Mohabbat,Batra Kaushalraj,Yogeeta Bali,Drama,1974,http://www.imdb.com/find?q=Azad+Mohabbat+1974+
341,Badhti Ka Naam Dadhi,Kishore Kumar,"Kishore Kumar, Ashok Kumar",Drama,1974,http://www.imdb.com/find?q=Badhti+Ka+Naam+Dadhi+1974+
342,Badi Maa,Ram Narayan Gabale,,,1974,http://www.imdb.com/find?q=Badi+Maa+1974+
343,Badla,Vijay,"Moushumi Chatterjee, Mehmood",Drama,1974,http://www.imdb.com/find?q=Badla+1974+
344,Balak Dhruv,Himmat Dave,Abhi Bhattacharya,Drama,1974,http://www.imdb.com/find?q=Balak+Dhruv+1974+
345,Bazaar Band Karo,B.R. Ishara,,,1974,http://www.imdb.com/find?q=Bazaar+Band+Karo+1974+
346,Benaam,Narendra Bedi,"Amitabh Bachchan, Moushumi Chatterjee",Drama,1974,http://www.imdb.com/find?q=Benaam+1974+
347,Bidaai,L.V. Prasad,"Jeetendra, Leena Chandavarkar",Drama,1974,http://www.imdb.com/find?q=Bidaai+1974+
348,Call Girl,Vijay Kapoor,Vikram,Drama,1974,http://www.imdb.com/find?q=Call+Girl+1974+
349,Charitraheen,Shakti Samanta,"Sanjeev Kumar, Sharmila Tagore, Parveen Babi",Drama,1974,http://www.imdb.com/find?q=Charitraheen+1974+
350,Chattan Singh,Kedar Kapoor,"Roopesh Kumar, Vinod Mehra",Drama,1974,http://www.imdb.com/find?q=Chattan+Singh+1974+
351,Chhote Sarkar,K. Shankar,Shammi Kapoor,Drama,1974,http://www.imdb.com/find?q=Chhote+Sarkar+1974+
352,Chor Chor,Prem Prakash,"Vijay Anand, Leena Chandavarkar",Drama,1974,http://www.imdb.com/find?q=Chor+Chor+1974+
353,Chor Machaye Shor,Ashok Roy,"Shashi Kapoor, Mumtaz",Drama,1974,http://www.imdb.com/find?q=Chor+Machaye+Shor+1974+
354,Chorus,Mrinal Sen,"Utpal Dutt, Ajit Baneerjee",Fantasy,1974,http://www.imdb.com/find?q=Chorus+1974+
355,Chowkidar,Shyam Ralhan,"Yogeeta Bali, Vinod Khanna",Drama,1974,http://www.imdb.com/find?q=Chowkidar+1974+
356,Dawat,B.R. Ishara,Dilip Dutt,Drama,1974,http://www.imdb.com/find?q=Dawat+1974+
357,Dhuen Ki Lakeer,Kishore Sahu,Parveen Babi,Drama,1974,http://www.imdb.com/find?q=Dhuen+Ki+Lakeer+1974+
358,Dil Diwana,Narendra Bedi,"Jaya Bachchan, Aruna Irani",Drama,1974,http://www.imdb.com/find?q=Dil+Diwana+1974+
359,Do Aankhen,Ajoy Biswas,Rekha,Drama,1974,http://www.imdb.com/find?q=Do+Aankhen+1974+
360,Do Chattane,G.H. Sarin,Aruna Irani,Drama,1974,http://www.imdb.com/find?q=Do+Chattane+1974+
